bodyPart,equipment,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
upper legs,dumbbell,1459_dumbbell_romanian_deadlift,dumbbell romanian deadlift,glutes,hamstrings,lower back,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand with an overhand grip.","Keeping your back straight and your core engaged, hinge at the hips and lower the dumbbells towards the ground, allowing your knees to bend slightly.","Lower the dumbbells until you feel a stretch in your hamstrings, then push through your heels and engage your glutes to return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
shoulders,dumbbell,0386_dumbbell_rotation_reverse_fly,dumbbell rotation reverse fly,delts,trapezius,rhomboids,"Stand with your feet shoulder-width apart and hold a dumbbell in each hand, palms facing inwards.","Bend your knees slightly and hinge forward at the hips, keeping your back straight and chest up.","Raise your arms out to the sides, keeping a slight bend in your elbows, until they are parallel to the floor.",Rotate your arms so that your palms are facing downwards.,Slowly lower your arms back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
shoulders,dumbbell,2397_dumbbell_scott_press,dumbbell scott press,delts,triceps,chest,"Sit on a bench with a dumbbell in each hand, palms facing forward.","Raise the dumbbells to shoulder height, with your elbows bent and palms facing forward.",Press the dumbbells upward until your arms are fully extended.,"Pause for a moment at the top, then slowly lower the dumbbells back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
shoulders,dumbbell,0387_dumbbell_seated_alternate_front_raise,dumbbell seated alternate front raise,delts,trapezius,biceps,Sit on a bench with your back straight and feet flat on the ground.,Hold a dumbbell in each hand with your palms facing your body and arms extended down by your sides.,"Keeping your arms straight, raise one dumbbell in front of you until it is parallel to the ground.","Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position.",Repeat with the other arm.,Alternate between arms for the desired number of repetitions.,,,,,,,,,
upper arms,dumbbell,1676_dumbbell_seated_alternate_hammer_curl_on_exercise_ball,dumbbell seated alternate hammer curl on exercise ball,biceps,forearms,,Sit on an exercise ball with your feet flat on the ground and your back straight.,Hold a dumbbell in each hand with your palms facing your body and your arms fully extended.,"Keeping your upper arms stationary, exhale and curl one dumbbell up towards your shoulder while keeping your palm facing your body.",Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale and slowly lower the dumbbell back to the starting position.,,Repeat the movement with the opposite arm.,Continue alternating arms for the desired number of repetitions.,,,,,,
shoulders,dumbbell,0388_dumbbell_seated_alternate_press,dumbbell seated alternate press,delts,triceps,chest,"Sit on a bench with a dumbbell in each hand, palms facing forward.","Raise the dumbbells to shoulder height, with your elbows bent and palms facing forward.","Press one dumbbell up overhead, fully extending your arm.",Lower the dumbbell back down to shoulder height.,Repeat with the other arm.,Continue alternating arms for the desired number of repetitions.,,,,,,,,,
shoulders,dumbbell,3546_dumbbell_seated_alternate_shoulder,dumbbell seated alternate shoulder,delts,triceps,upper back,Sit on a bench with your back straight and feet flat on the ground.,"Hold a dumbbell in each hand, palms facing inwards, and raise them to shoulder height.",Press one dumbbell up overhead while keeping the other dumbbell at shoulder height.,Lower the raised dumbbell back to shoulder height while simultaneously pressing the other dumbbell up overhead.,Continue alternating between arms for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,0389_dumbbell_seated_bench_extension,dumbbell seated bench extension,triceps,shoulders,,Sit on a bench with your back straight and feet flat on the ground.,Hold a dumbbell with both hands and extend your arms straight up above your head.,"Slowly lower the dumbbell behind your head, keeping your elbows close to your ears.","Pause for a moment, then raise the dumbbell back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
shoulders,dumbbell,2317_dumbbell_seated_bent_arm_lateral_raise,dumbbell seated bent arm lateral raise,delts,trapezius,rhomboids,Sit on a bench with your back straight and feet flat on the ground.,Hold a dumbbell in each hand with your palms facing your body and your arms bent at a 90-degree angle.,"Keeping your elbows bent, raise your arms out to the sides until they are parallel to the ground.","Pause for a moment at the top, then slowly lower your arms back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,1730_dumbbell_seated_bent_over_alternate_kickback,dumbbell seated bent over alternate kickback,triceps,shoulders,back,"Sit on a bench with a dumbbell in each hand, palms facing inwards.","Bend forward at the waist, keeping your back straight and parallel to the ground.","Extend one arm straight back, keeping it close to your body, until your arm is fully extended.","Pause for a moment, then slowly lower the dumbbell back to the starting position.",Repeat with the other arm.,Continue alternating arms for the desired number of repetitions.,,,,,,,,,
upper arms,dumbbell,1737_dumbbell_seated_bent_over_triceps_extension,dumbbell seated bent over triceps extension,triceps,shoulders,back,Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand.,"Bend forward at the waist, keeping your back straight and your head up.","Extend your arms straight back, keeping your elbows close to your head.","Pause for a moment, then slowly lower the dumbbells back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,1677_dumbbell_seated_bicep_curl,dumbbell seated bicep curl,biceps,forearms,,"Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up.",Keep your back straight and your elbows close to your torso.,"Exhale and curl the dumbbells up towards your shoulders, contracting your biceps.","Pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,0390_dumbbell_seated_biceps_curl_on_stability_ball,dumbbell seated biceps curl (on stability ball),biceps,forearms,,Sit on a stability ball with your feet flat on the ground and your back straight.,Hold a dumbbell in each hand with your palms facing forward and your arms fully extended.,"Keeping your upper arms stationary, exhale and curl the dumbbells while contracting your biceps.",Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale and slowly begin to lower the dumbbells back to the starting position.,,Repeat for the desired number of repetitions.,,,,,,,
upper arms,dumbbell,3547_dumbbell_seated_biceps_curl_to_shoulder_press,dumbbell seated biceps curl to shoulder press,biceps,shoulders,,Sit on a bench with your back straight and feet flat on the ground.,Hold a dumbbell in each hand with your palms facing forward and arms fully extended.,"Keeping your elbows close to your sides, curl the dumbbells up towards your shoulders.","Once your forearms are vertical, rotate your wrists so that your palms are facing forward.",Press the dumbbells overhead until your arms are fully extended.,Lower the dumbbells back down to the starting position by reversing the movement.,,Repeat for the desired number of repetitions.,,,,,,,
lower legs,dumbbell,1379_dumbbell_seated_calf_raise,dumbbell seated calf raise,calves,hamstrings,,Sit on a bench or chair with your feet flat on the ground and a dumbbell resting on your thighs.,"Place the balls of your feet on a raised surface such as a step or block, with your heels hanging off the edge.",Hold onto the dumbbell for stability.,"Raise your heels as high as possible, lifting your body weight onto the balls of your feet.","Pause for a moment at the top, then slowly lower your heels back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,dumbbell,0391_dumbbell_seated_curl,dumbbell seated curl,biceps,forearms,,"Sit on a bench with your feet flat on the ground and a dumbbell in each hand, palms facing forward.",Keep your back straight and your elbows close to your torso.,"Exhale and curl the dumbbells up towards your shoulders, contracting your biceps.","Pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
shoulders,dumbbell,0392_dumbbell_seated_front_raise,dumbbell seated front raise,delts,trapezius,biceps,"Sit on a bench with your feet flat on the ground and a dumbbell in each hand, resting on your thighs.",Keep your back straight and core engaged.,"Raise the dumbbells in front of you, with your palms facing down, until they are at shoulder level.","Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,1678_dumbbell_seated_hammer_curl,dumbbell seated hammer curl,biceps,forearms,,"Sit on a bench with a dumbbell in each hand, palms facing your torso and arms extended straight down.","Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps.",Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale and slowly begin to lower the dumbbells back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,dumbbell,0393_dumbbell_seated_inner_biceps_curl,dumbbell seated inner biceps curl,biceps,forearms,,"Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up.","Rest your upper arms on your thighs, allowing the dumbbells to hang down.","Keeping your upper arms stationary, curl the dumbbells up towards your shoulders by contracting your biceps.","Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,0394_dumbbell_seated_kickback,dumbbell seated kickback,triceps,shoulders,,Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand.,"Bend your knees slightly and lean forward from your hips, keeping your back straight.",Bring your upper arms close to your sides and keep your elbows bent at a 90-degree angle.,"Extend your arms straight back, squeezing your triceps at the top of the movement.","Pause for a moment, then slowly lower the dumbbells back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
shoulders,dumbbell,0396_dumbbell_seated_lateral_raise,dumbbell seated lateral raise,delts,traps,upper back,"Sit on a bench with your feet flat on the ground and a dumbbell in each hand, resting on your thighs.",Keep your back straight and core engaged.,"Raise the dumbbells to your sides with a slight bend in your elbows, until your arms are parallel to the ground.","Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
shoulders,dumbbell,0395_dumbbell_seated_lateral_raise_v_2,dumbbell seated lateral raise v. 2,delts,traps,triceps,"Sit on a bench with your feet flat on the ground and a dumbbell in each hand, resting on your thighs.",Keep your back straight and core engaged.,"Raise the dumbbells to your sides with a slight bend in your elbows, until your arms are parallel to the ground.","Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,0397_dumbbell_seated_neutral_wrist_curl,dumbbell seated neutral wrist curl,biceps,forearms,,"Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing each other.","Rest your forearms on your thighs, allowing the dumbbells to hang down.","Keeping your wrists in a neutral position, curl the dumbbells up towards your shoulders.","Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,1679_dumbbell_seated_one_arm_bicep_curl_on_exercise_ball_with_leg_raised,dumbbell seated one arm bicep curl on exercise ball with leg raised,biceps,forearms,shoulders,Sit on an exercise ball with your feet flat on the ground and your back straight.,Hold a dumbbell in one hand with your palm facing up and your arm fully extended.,Place your other hand on your hip for stability.,"Slowly curl the dumbbell towards your shoulder, keeping your upper arm stationary.","Pause for a moment at the top of the movement, squeezing your bicep.",Slowly lower the dumbbell back to the starting position.,,Repeat for the desired number of repetitions.,Switch arms and repeat the exercise.,,,,,,
upper arms,dumbbell,0398_dumbbell_seated_one_arm_kickback,dumbbell seated one arm kickback,triceps,shoulders,,Sit on a bench with your feet flat on the ground and hold a dumbbell in one hand.,"Bend your torso forward at the waist, keeping your back straight and parallel to the ground.","Extend your arm straight back, keeping your elbow close to your body.","Pause for a moment at the top, then slowly lower the dumbbell back to the starting position.","Repeat for the desired number of repetitions, then switch arms.",,,,,,,,,,
lower arms,dumbbell,0399_dumbbell_seated_one_arm_rotate,dumbbell seated one arm rotate,forearms,shoulders,biceps,"Sit on a bench with your back straight and hold a dumbbell in one hand, resting it on your thigh.","Raise the dumbbell up to shoulder height, keeping your elbow close to your body.","Rotate your forearm outward, away from your body, while keeping your upper arm stationary.","Pause for a moment at the top, then slowly rotate your forearm back to the starting position.","Repeat for the desired number of repetitions, then switch to the other arm.",,,,,,,,,,
lower legs,dumbbell,0400_dumbbell_seated_one_leg_calf_raise,dumbbell seated one leg calf raise,calves,hamstrings,glutes,Sit on a bench or chair with your feet flat on the ground and a dumbbell resting on your right thigh.,"Extend your left leg straight out in front of you, keeping your foot flexed.","Place the ball of your right foot on an elevated surface, such as a step or weight plate.","Using your calf muscles, raise your right heel as high as possible.","Pause for a moment at the top, then slowly lower your heel back down to the starting position.","Repeat for the desired number of repetitions, then switch legs.",,,,,,,,,
lower legs,dumbbell,1380_dumbbell_seated_one_leg_calf_raise_hammer_grip,dumbbell seated one leg calf raise - hammer grip,calves,hamstrings,glutes,Sit on a bench or chair with your feet flat on the ground and a dumbbell resting on your thighs.,"Place one foot on a raised surface, such as a step or block, with your heel hanging off the edge.","Hold the dumbbell with a hammer grip, meaning your palms are facing each other and your fingers are wrapped around the handle.","Keeping your core engaged and your back straight, slowly raise your heel as high as possible by pushing through the ball of your foot.","Pause for a moment at the top, then slowly lower your heel back down to the starting position.","Repeat for the desired number of repetitions, then switch to the other leg.",,,,,,,,,
lower legs,dumbbell,1381_dumbbell_seated_one_leg_calf_raise_palm_up,dumbbell seated one leg calf raise - palm up,calves,hamstrings,glutes,Sit on a bench or chair with your back straight and your feet flat on the ground.,"Hold a dumbbell in one hand and place it on top of your thigh, palm facing up.","Lift one leg off the ground and extend it in front of you, keeping your knee slightly bent.",Raise your heel as high as possible by pushing through the ball of your foot.,"Pause for a moment at the top, then slowly lower your heel back down.","Repeat for the desired number of repetitions, then switch legs and repeat.",,,,,,,,,
lower arms,dumbbell,0401_dumbbell_seated_palms_up_wrist_curl,dumbbell seated palms up wrist curl,forearms,biceps,shoulders,"Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up.","Rest your forearms on your thighs, allowing your wrists to hang off the edge.","Slowly curl your wrists upward, squeezing your forearms at the top of the movement.","Pause for a moment, then lower your wrists back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,0402_dumbbell_seated_preacher_curl,dumbbell seated preacher curl,biceps,forearms,,Sit on a preacher curl bench with your feet flat on the floor.,"Hold a dumbbell in one hand with an underhand grip, resting your upper arm against the preacher pad.","Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder.","Pause for a moment at the top, then inhale and slowly lower the dumbbell back down to the starting position.","Repeat for the desired number of repetitions, then switch arms.",,,,,,,,,,
upper arms,dumbbell,0403_dumbbell_seated_revers_grip_concentration_curl,dumbbell seated revers grip concentration curl,biceps,forearms,,"Sit on a bench with your feet flat on the ground and hold a dumbbell in one hand, palm facing up.","Rest your elbow on the inside of your thigh, just above the knee.","Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder.","Pause for a moment at the top, squeezing your biceps.",Inhale and slowly lower the dumbbell back to the starting position.,"Repeat for the desired number of repetitions, then switch arms.",,,,,,,,,
upper arms,dumbbell,1738_dumbbell_seated_reverse_grip_one_arm_overhead_tricep_extension,dumbbell seated reverse grip one arm overhead tricep extension,triceps,shoulders,,Sit on a bench with your back straight and feet flat on the ground.,Hold a dumbbell with an underhand grip and extend your arm straight up overhead.,"Lower the dumbbell behind your head by bending your elbow, keeping your upper arm stationary.","Pause for a moment, then extend your arm back up to the starting position.","Repeat for the desired number of repetitions, then switch arms.",,,,,,,,,,
shoulders,dumbbell,0405_dumbbell_seated_shoulder_press,dumbbell seated shoulder press,delts,triceps,upper back,"Sit on a bench with a dumbbell in each hand, resting on your thighs.","Raise the dumbbells to shoulder height, palms facing forward.",Press the dumbbells upward until your arms are fully extended overhead.,"Pause for a moment at the top, then slowly lower the dumbbells back to shoulder height.",Repeat for the desired number of repetitions.,,,,,,,,,,
shoulders,dumbbell,0404_dumbbell_seated_shoulder_press_parallel_grip,dumbbell seated shoulder press (parallel grip),delts,triceps,upper back,"Sit on a bench with a dumbbell in each hand, palms facing inward.","Raise the dumbbells to shoulder height, elbows bent and palms facing forward.",Press the dumbbells upward until your arms are fully extended overhead.,"Pause for a moment at the top, then slowly lower the dumbbells back to shoulder height.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,2188_dumbbell_seated_triceps_extension,dumbbell seated triceps extension,triceps,shoulders,,Sit on a bench with your back straight and feet flat on the ground.,Hold a dumbbell with both hands and extend your arms straight up overhead.,"Bend your elbows and lower the dumbbell behind your head, keeping your upper arms close to your ears.","Pause for a moment, then straighten your arms and return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,dumbbell,0406_dumbbell_shrug,dumbbell shrug,traps,shoulders,,Stand with your feet shoulder-width apart and hold a dumbbell in each hand with your palms facing your body.,Keep your arms straight and let the dumbbells hang by your sides.,"Raise your shoulders as high as possible, as if you are trying to touch your ears with your shoulders.","Hold the contraction for a second, then slowly lower your shoulders back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
waist,dumbbell,0407_dumbbell_side_bend,dumbbell side bend,abs,obliques,,"Stand up straight with your feet shoulder-width apart and hold a dumbbell in one hand, letting it hang down by your side.","Keeping your back straight and your core engaged, slowly bend sideways at the waist towards the opposite side of the dumbbell, lowering the weight as far as you comfortably can.","Pause for a moment, then slowly return to the starting position.","Repeat for the desired number of repetitions, then switch sides and repeat.",,,,,,,,,,,
shoulders,dumbbell,0408_dumbbell_side_lying_one_hand_raise,dumbbell side lying one hand raise,delts,trapezius,rhomboids,Lie on your side with your legs extended and your head supported by your arm.,Hold a dumbbell in your top hand with your palm facing down.,"Keeping your arm straight, raise the dumbbell up to shoulder height.","Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position.","Repeat for the desired number of repetitions, then switch sides.",,,,,,,,,,
back,dumbbell,3664_dumbbell_side_plank_with_rear_fly,dumbbell side plank with rear fly,upper back,shoulders,core,Start by lying on your side with your legs extended and stacked on top of each other.,"Place your forearm on the ground directly below your shoulder, keeping your elbow bent at a 90-degree angle.","Hold a dumbbell in your top hand, with your arm extended straight down towards the ground.","Engage your core and lift your hips off the ground, creating a straight line from your head to your heels.","While maintaining the side plank position, lift the dumbbell up towards the ceiling, squeezing your shoulder blades together.",Lower the dumbbell back down to the starting position.,,"Repeat for the desired number of repetitions, then switch sides.",,,,,,,
shoulders,dumbbell,3548_dumbbell_single_arm_overhead_carry,dumbbell single arm overhead carry,delts,traps,core,"Stand tall with your feet shoulder-width apart, holding a dumbbell in one hand.","Raise the dumbbell overhead, fully extending your arm.","Engage your core and keep your back straight as you walk forward, maintaining the dumbbell overhead.",Continue walking for the desired distance or time.,Switch hands and repeat the exercise.,,,,,,,,,,
lower legs,dumbbell,0409_dumbbell_single_leg_calf_raise,dumbbell single leg calf raise,calves,ankles,,Stand on the edge of a step or platform with your heels hanging off and your toes on the step.,Hold a dumbbell in one hand and place your other hand on a wall or railing for support.,"Raise your heel as high as possible, lifting your body up onto your toes.","Pause for a moment at the top, then slowly lower your heel back down below the step.","Repeat for the desired number of repetitions, then switch to the other leg.",,,,,,,,,,
upper legs,dumbbell,1757_dumbbell_single_leg_deadlift,dumbbell single leg deadlift,glutes,hamstrings,lower back,"Stand with your feet hip-width apart, holding a dumbbell in your right hand.",Shift your weight onto your left leg and lift your right foot slightly off the ground.,"Keeping your back straight, hinge forward at the hips and lower the dumbbell towards the ground.","At the same time, extend your right leg straight behind you, maintaining a slight bend in your left knee.",Lower the dumbbell until your torso and right leg are parallel to the ground.,"Pause for a moment, then engage your glutes and hamstrings to return to the starting position.",,"Repeat for the desired number of repetitions, then switch sides.",,,,,,,
upper legs,dumbbell,2805_dumbbell_single_leg_deadlift_with_stepbox_support,dumbbell single leg deadlift with stepbox support,glutes,hamstrings,lower back,"Stand with your feet hip-width apart, holding a dumbbell in your right hand.",Place your left foot on a stepbox or elevated surface behind you.,"Keeping your back straight and core engaged, hinge forward at the hips, lowering the dumbbell towards the ground.","As you lower the dumbbell, simultaneously lift your left leg behind you, maintaining a straight line from head to heel.","Lower the dumbbell until you feel a stretch in your right hamstring, then return to the starting position.","Repeat for the desired number of repetitions, then switch sides.",,,,,,,,,
upper legs,dumbbell,0410_dumbbell_single_leg_split_squat,dumbbell single leg split squat,quads,glutes,hamstrings,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand.",Take a step forward with one foot and position your feet so that your front foot is flat on the ground and your back foot is elevated on a bench or step.,"Lower your body by bending your front knee and hip, keeping your back knee slightly bent and your back heel off the ground.","Continue lowering until your front thigh is parallel to the ground, then push through your front heel to return to the starting position.","Repeat for the desired number of repetitions, then switch legs and repeat.",,calves,,,,,,,,
upper legs,dumbbell,0411_dumbbell_single_leg_squat,dumbbell single leg squat,glutes,quadriceps,hamstrings,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand.",Extend one leg forward and keep it off the ground throughout the exercise.,Bend your standing leg and lower your body down as if sitting back into a chair.,Keep your chest up and your back straight.,"Pause for a moment at the bottom, then push through your heel to return to the starting position.","Repeat for the desired number of repetitions, then switch legs.",calves,,,,,,,,
upper legs,dumbbell,0413_dumbbell_squat,dumbbell squat,glutes,quadriceps,hamstrings,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand at your sides.","Keeping your chest up and core engaged, lower your body down by bending at the knees and hips, as if sitting back into a chair.","Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.","Pause for a moment at the bottom, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,,calves,,,,,,,,
upper arms,dumbbell,3560_dumbbell_standing_alternate_hammer_curl_and_press,dumbbell standing alternate hammer curl and press,biceps,forearms,shoulders,"Stand up straight with a dumbbell in each hand, palms facing your body.",Keep your elbows close to your torso and your back straight.,"Exhale and curl the dumbbell in your right hand towards your shoulder, keeping your upper arm stationary.",Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level.,Inhale and slowly lower the dumbbell back to the starting position.,Repeat the curl with your left hand.,,"After completing the curl with your left hand, exhale and press the dumbbell in your right hand overhead.",Extend your arm fully and hold for a moment at the top.,,Inhale and slowly lower the dumbbell back to the starting position.,,Repeat the press with your left hand.,,Continue alternating between curls and presses for the desired number of repetitions.
shoulders,dumbbell,0414_dumbbell_standing_alternate_overhead_press,dumbbell standing alternate overhead press,delts,triceps,core,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder level with your palms facing forward.","Press one dumbbell overhead, fully extending your arm.",Lower the dumbbell back to shoulder level.,Repeat with the other arm.,Continue alternating arms for the desired number of repetitions.,,,,,,,,,,
shoulders,dumbbell,0415_dumbbell_standing_alternate_raise,dumbbell standing alternate raise,delts,traps,forearms,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your body.",Keep your back straight and your core engaged.,"Raise one dumbbell to the side, keeping your arm straight and your palm facing down.",Continue lifting until your arm is parallel to the ground.,"Pause for a moment at the top, then slowly lower the dumbbell back to the starting position.",Repeat with the other arm.,,Alternate between arms for the desired number of repetitions.,,,,,,,
upper arms,dumbbell,1739_dumbbell_standing_alternating_tricep_kickback,dumbbell standing alternating tricep kickback,triceps,shoulders,,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand.","Bend your knees slightly and hinge forward at the hips, keeping your back straight.","Extend your arms straight back, keeping your elbows close to your body.","Pause for a moment at the top, then slowly lower the dumbbells back to the starting position.","Repeat with the other arm, alternating sides with each repetition.",,,,,,,,,,
shoulders,dumbbell,2143_dumbbell_standing_around_world,dumbbell standing around world,delts,triceps,forearms,Stand with your feet shoulder-width apart and hold a dumbbell in each hand.,"Extend your arms straight out to the sides at shoulder height, palms facing down.","Keeping your arms straight, slowly rotate your arms in a circular motion, bringing the dumbbells in front of your body and then overhead.","Continue the circular motion, bringing the dumbbells back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,1740_dumbbell_standing_bent_over_one_arm_triceps_extension,dumbbell standing bent over one arm triceps extension,triceps,shoulders,back,Stand with your feet shoulder-width apart and hold a dumbbell in one hand.,"Bend forward at the waist, keeping your back straight and parallel to the ground.","Extend your arm straight back, keeping your elbow close to your body.",Slowly lower the dumbbell back to the starting position.,"Repeat for the desired number of repetitions, then switch arms.",,,,,,,,,,
upper arms,dumbbell,1741_dumbbell_standing_bent_over_two_arm_triceps_extension,dumbbell standing bent over two arm triceps extension,triceps,shoulders,back,Stand with your feet shoulder-width apart and hold a dumbbell in each hand.,"Bend forward at the waist, keeping your back straight and your knees slightly bent.","Extend your arms straight back, keeping your elbows close to your body.",Slowly lower the dumbbells back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,0416_dumbbell_standing_biceps_curl,dumbbell standing biceps curl,biceps,forearms,,"Stand up straight with a dumbbell in each hand, palms facing forward and arms fully extended.","Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps.",Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale and slowly begin to lower the dumbbells back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
lower legs,dumbbell,0417_dumbbell_standing_calf_raise,dumbbell standing calf raise,calves,ankles,,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand.","Raise your heels off the ground as high as possible, using your calves.","Pause for a moment at the top, then slowly lower your heels back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
upper arms,dumbbell,0418_dumbbell_standing_concentration_curl,dumbbell standing concentration curl,biceps,forearms,,"Stand with your feet shoulder-width apart and hold a dumbbell in one hand, with your arm fully extended and palm facing inwards.",Place your opposite hand on your thigh for support.,"Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps.",Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale and slowly lower the dumbbell back to the starting position.,,"Repeat for the desired number of repetitions, then switch arms.",,,,,,,
shoulders,dumbbell,0419_dumbbell_standing_front_raise_above_head,dumbbell standing front raise above head,delts,trapezius,biceps,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand with an overhand grip.","Keep your arms straight and lift the dumbbells in front of you, raising them above your head.","Pause for a moment at the top, then slowly lower the dumbbells back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
upper arms,dumbbell,2321_dumbbell_standing_inner_biceps_curl_v_2,dumbbell standing inner biceps curl v. 2,biceps,forearms,,"Stand up straight with a dumbbell in each hand, palms facing your torso.",Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward.,"While holding your upper arms stationary, curl the weights while contracting your biceps.",Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Slowly begin to bring the dumbbells back to the starting position as your breathe in.,,Repeat for the recommended amount of repetitions.,,,,,,,
upper arms,dumbbell,0420_dumbbell_standing_kickback,dumbbell standing kickback,triceps,shoulders,,Stand with your feet shoulder-width apart and hold a dumbbell in each hand.,"Bend your knees slightly and hinge forward at the hips, keeping your back straight.","Extend your arms straight back, squeezing your triceps at the top of the movement.","Pause for a moment, then slowly lower the dumbbells back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,dumbbell,0421_dumbbell_standing_one_arm_concentration_curl,dumbbell standing one arm concentration curl,biceps,forearms,,"Stand up straight with your feet shoulder-width apart and hold a dumbbell in one hand, palm facing up.",Place your free hand on your thigh for support.,"Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps.",Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale and slowly lower the dumbbell back to the starting position.,,"Repeat for the desired number of repetitions, then switch arms.",,,,,,,
